title, description
Tarefa 1.2024, reunião pedagógica
Tarefa 2.2024, reunião administrativa
Tarefa 3.2024, elaboração de planos de ensino
Tarefa 4.2024, preparação da Aula Intro da disciplina
Tarefa 5.2024, aplicação da Aula Intro
Tarefa 6.2024, preparação lista de exercícios - Aula Intro
Tarefa 7.2024, aplicação dos exercícios propostos - Aula Intro
Tarefa 8.2024, resolução de exercícios - Aula Intro
Tarefa 9.2024, explicação - projeto prático em grupos
Tarefa 10.2024, desenvolvimento - projeto prático
